speed,steering_angle,position,rotation,rotation_speed
-0.01537624999999987,0.0,"Vec3(-1.3, 0.380419, -0.600095)","Vec3(0, 0, 0)",0
-0.03093424999999983,0.0,"Vec3(-1.3, 0.380419, -0.600287)","Vec3(0, 0, 0)",0
-0.04809249999999987,0.0,"Vec3(-1.3, 0.380419, -0.600617)","Vec3(0, 0, 0)",0
-0.06185549999999984,0.0,"Vec3(-1.3, 0.380419, -0.600958)","Vec3(0, 0, 0)",0
-0.07725574999999929,0.0,"Vec3(-1.3, 0.380419, -0.601434)","Vec3(0, 0, 0)",0
-0.09215924999999903,0.0,"Vec3(-1.3, 0.380419, -0.601983)","Vec3(0, 0, 0)",0
-0.10595074999999898,0.0,"Vec3(-1.3, 0.380419, -0.602567)","Vec3(0, 0, 0)",0
-0.11944974999999913,0.0,"Vec3(-1.3, 0.380419, -0.603212)","Vec3(0, 0, 0)",0
-0.13347524999999916,0.0,"Vec3(-1.3, 0.380419, -0.603961)","Vec3(0, 0, 0)",0
-0.1493692499999999,0.0,"Vec3(-1.3, 0.380419, -0.604911)","Vec3(0, 0, 0)",0
-0.1785104999999998,0.0,"Vec3(-1.3, 0.380419, -0.606992)","Vec3(0, 0, 0)",0
-0.19167924999999975,0.0,"Vec3(-1.3, 0.380419, -0.608001)","Vec3(0, 0, 0)",0
-0.20417924999999948,0.0,"Vec3(-1.3, 0.380419, -0.609022)","Vec3(0, 0, 0)",0
-0.21661225000000006,0.0,"Vec3(-1.3, 0.380419, -0.610099)","Vec3(0, 0, 0)",0
-0.228529999999999,0.0,"Vec3(-1.3, 0.380419, -0.611189)","Vec3(0, 0, 0)",0
-0.24129449999999997,0.0,"Vec3(-1.3, 0.380419, -0.612421)","Vec3(0, 0, 0)",0
-0.25442824999999947,0.0,"Vec3(-1.3, 0.380419, -0.613758)","Vec3(0, 0, 0)",0
-0.26932574999999903,0.0,"Vec3(-1.3, 0.380419, -0.615363)","Vec3(0, 0, 0)",0
-0.2843534999999997,0.0,"Vec3(-1.3, 0.380419, -0.617072)","Vec3(0, 0, 0)",0
-0.2996357499999991,0.0,"Vec3(-1.3, 0.380419, -0.618903)","Vec3(0, 0, 0)",0
-0.31458049999999904,0.0,"Vec3(-1.3, 0.380419, -0.620784)","Vec3(0, 0, 0)",0
-0.3298689999999993,0.0,"Vec3(-1.3, 0.380419, -0.622801)","Vec3(0, 0, 0)",0
-0.34642774999999904,0.0,"Vec3(-1.3, 0.380419, -0.625096)","Vec3(0, 0, 0)",0
-0.36562349999999966,0.0,"Vec3(-1.3, 0.380419, -0.627903)","Vec3(0, 0, 0)",0
-0.38038999999999934,0.0,"Vec3(-1.3, 0.380419, -0.63015)","Vec3(0, 0, 0)",0
-0.39410474999999945,0.0,"Vec3(-1.3, 0.380419, -0.632312)","Vec3(0, 0, 0)",0
-0.40658374999999913,0.0,"Vec3(-1.3, 0.380419, -0.634341)","Vec3(0, 0, 0)",0
-0.4202534999999996,0.0,"Vec3(-1.3, 0.380419, -0.636639)","Vec3(0, 0, 0)",0
-0.4359642499999994,0.0,"Vec3(-1.3, 0.380419, -0.639379)","Vec3(0, 0, 0)",0
-0.450892249999999,0.0,"Vec3(-1.3, 0.380419, -0.642071)","Vec3(0, 0, 0)",0
-0.48186224999999916,0.0,"Vec3(-1.3, 0.380419, -0.648041)","Vec3(0, 0, 0)",0
-0.4955899999999991,0.0,"Vec3(-1.3, 0.380419, -0.650762)","Vec3(0, 0, 0)",0
-0.5084032499999991,0.0,"Vec3(-1.3, 0.380419, -0.653368)","Vec3(0, 0, 0)",0
