speed,steering_angle,position,rotation,rotation_speed
-0.04599250000000055,0.0,"Vec3(11.8432, 0.485763, -6.19586)","Vec3(0, 104.796, 0)",0
-0.08483499999999644,0.0,"Vec3(11.842, 0.485763, -6.19552)","Vec3(0, 104.796, 0)",0
-0.1257025000000045,0.0,"Vec3(11.84, 0.485763, -6.195)","Vec3(0, 104.796, 0)",0
-0.16853249999999598,0.0,"Vec3(11.8372, 0.485763, -6.19426)","Vec3(0, 104.796, 0)",0
-0.20970250000000412,0.0,"Vec3(11.8338, 0.485763, -6.19338)","Vec3(0, 104.796, 0)",0
-0.2533299999999983,0.0,"Vec3(11.8296, 0.485763, -6.19225)","Vec3(0, 104.796, 0)",0
-0.29337250000000203,0.0,"Vec3(11.825, 0.485763, -6.19105)","Vec3(0, 104.796, 0)",0
-0.3346424999999975,0.0,"Vec3(11.8197, 0.485763, -6.18964)","Vec3(0, 104.796, 0)",0
-0.3769750000000016,0.0,"Vec3(11.8135, 0.485763, -6.18801)","Vec3(0, 104.796, 0)",0
-0.420177500000003,0.0,"Vec3(11.8065, 0.485763, -6.18615)","Vec3(0, 104.796, 0)",0
-0.45801499999999606,0.0,"Vec3(11.7998, 0.485763, -6.18438)","Vec3(0, 104.796, 0)",0
-0.502419999999999,0.0,"Vec3(11.7912, 0.485763, -6.1821)","Vec3(0, 104.796, 0)",0
-0.5429050000000046,0.0,"Vec3(11.7827, 0.485763, -6.17986)","Vec3(0, 104.796, 0)",0
-0.5879000000000012,0.0,"Vec3(11.7724, 0.485763, -6.17716)","Vec3(0, 104.796, 0)",0
-0.6252350000000018,0.0,"Vec3(11.7634, 0.485763, -6.17477)","Vec3(0, 104.796, 0)",0
-0.6649800000000017,0.0,"Vec3(11.7532, 0.485763, -6.17207)","Vec3(0, 104.796, 0)",0
-0.7100074999999961,0.0,"Vec3(11.7408, 0.485763, -6.1688)","Vec3(0, 104.796, 0)",0
-0.7512425,0.0,"Vec3(11.7288, 0.485763, -6.16564)","Vec3(0, 104.796, 0)",0
-0.7947099999999985,0.0,"Vec3(11.7155, 0.485763, -6.16211)","Vec3(0, 104.796, 0)",0
-0.8354700000000026,0.0,"Vec3(11.7023, 0.485763, -6.15863)","Vec3(0, 104.796, 0)",0
-0.8754249999999963,0.0,"Vec3(11.6888, 0.485763, -6.15506)","Vec3(0, 104.796, 0)",0
-0.9185999999999961,0.0,"Vec3(11.6734, 0.485763, -6.15101)","Vec3(0, 104.796, 0)",0
-0.9625600000000034,0.0,"Vec3(11.6571, 0.485763, -6.14669)","Vec3(0, 104.796, 0)",0
-1.003987500000001,0.0,"Vec3(11.641, 0.485763, -6.14244)","Vec3(0, 104.796, 0)",0
-1.0432350000000046,0.0,"Vec3(11.6252, 0.485763, -6.13825)","Vec3(0, 104.796, 0)",0
-1.0843024999999962,0.0,"Vec3(11.6079, 0.485763, -6.13371)","Vec3(0, 104.796, 0)",0
-1.1246650000000002,0.0,"Vec3(11.5904, 0.485763, -6.12907)","Vec3(0, 104.796, 0)",0
-1.1677849999999967,0.0,"Vec3(11.5709, 0.485763, -6.12392)","Vec3(0, 104.796, 0)",0
-1.2072649999999996,0.0,"Vec3(11.5525, 0.485763, -6.11906)","Vec3(0, 104.796, 0)",0
-1.2527650000000001,0.0,"Vec3(11.5304, 0.485763, -6.11323)","Vec3(0, 104.796, 0)",0
-1.2920125000000038,0.0,"Vec3(11.5108, 0.485763, -6.10805)","Vec3(0, 104.796, 0)",0
-1.3358899999999974,0.0,"Vec3(11.4881, 0.485763, -6.10207)","Vec3(0, 104.796, 0)",0
-1.3744949999999978,0.0,"Vec3(11.4676, 0.485763, -6.09664)","Vec3(0, 104.796, 0)",0
-1.4183274999999984,0.0,"Vec3(11.4436, 0.485763, -6.09029)","Vec3(0, 104.796, 0)",0
-1.4610900000000004,0.0,"Vec3(11.4194, 0.485763, -6.08391)","Vec3(0, 104.796, 0)",0
-1.5012000000000025,0.0,"Vec3(11.3961, 0.485763, -6.07776)","Vec3(0, 104.796, 0)",0
-1.5410099999999982,0.0,"Vec3(11.3724, 0.485763, -6.07149)","Vec3(0, 104.796, 0)",0
-1.5842775000000042,0.0,"Vec3(11.3459, 0.485763, -6.06449)","Vec3(0, 104.796, 0)",0
-1.6243600000000047,0.0,"Vec3(11.3207, 0.485763, -6.05784)","Vec3(0, 104.796, 0)",0
-1.6688225000000045,0.0,"Vec3(11.292, 0.485763, -6.05026)","Vec3(0, 104.796, 0)",0
-1.7091550000000044,0.0,"Vec3(11.2654, 0.485763, -6.04322)","Vec3(0, 104.796, 0)",0
-1.7512599999999967,0.0,"Vec3(11.2368, 0.485763, -6.03569)","Vec3(0, 104.796, 0)",0
-1.7937600000000042,0.0,"Vec3(11.2074, 0.485763, -6.0279)","Vec3(0, 104.796, 0)",0
-1.8398475000000047,0.0,"Vec3(11.1746, 0.485763, -6.01924)","Vec3(0, 104.796, 0)",0
-1.8753675000000047,0.0,"Vec3(11.1488, 0.485763, -6.01243)","Vec3(0, 104.796, 0)",0
-1.9181850000000011,0.0,"Vec3(11.117, 0.485763, -6.00404)","Vec3(0, 104.796, 0)",0
-1.9571324999999984,0.0,"Vec3(11.0876, 0.485763, -5.99625)","Vec3(0, 104.796, 0)",0
-2.0026425000000003,0.0,"Vec3(11.0523, 0.485763, -5.98694)","Vec3(0, 104.796, 0)",0
-2.0267999999999997,0.0,"Vec3(11.0208, 0.485763, -5.97861)","Vec3(0, 104.796, 0)",-0.12883999999999673
-2.051537999999999,0.0,"Vec3(10.988, 0.485763, -5.97003)","Vec3(0, 104.69, 0)",-0.2663469975999926
-2.0773740000000025,0.0,"Vec3(10.9534, 0.380421, -5.96109)","Vec3(0, 104.461, 0)",-0.4100282793520122
-2.102560499999999,0.0,"Vec3(10.9191, 0.380421, -5.95248)","Vec3(0, 104.117, 0)",-0.5501698104909937
-2.1253349999999998,0.0,"Vec3(10.8878, 0.380421, -5.94484)","Vec3(0, 103.699, 0)",-0.676954339836247
-2.1535020000000014,0.0,"Vec3(10.8484, 0.380421, -5.9357)","Vec3(0, 103.063, 0)",-0.8338299299412559
-2.177334000000002,0.0,"Vec3(10.8146, 0.380421, -5.92827)","Vec3(0, 102.401, 0)",-0.9666364032372589
-2.2040370000000014,0.0,"Vec3(10.7762, 0.380421, -5.92042)","Vec3(0, 101.54, 0)",-1.115512553215256
-2.227305000000003,0.0,"Vec3(10.7422, 0.380421, -5.91402)","Vec3(0, 100.675, 0)",-1.2453067235392652
-2.2525695,0.0,"Vec3(10.7048, 0.380421, -5.90768)","Vec3(0, 99.6266, 0)",-1.386303139891748
-2.2750710000000023,0.0,"Vec3(10.6711, 0.380421, -5.90258)","Vec3(0, 98.5868, 0)",-1.5119429390700114
-2.3017559999999992,0.0,"Vec3(10.6304, 0.380421, -5.89742)","Vec3(0, 97.2419, 0)",-1.6610085245849944
-2.3256555,0.0,"Vec3(10.5936, 0.380421, -5.8936)","Vec3(0, 95.9186, 0)",-1.7945848376429978
-2.3510325000000005,0.0,"Vec3(10.5539, 0.380421, -5.89055)","Vec3(0, 94.4006, 0)",-1.9364864109345015
-2.3781840000000027,0.0,"Vec3(10.5109, 0.380421, -5.88856)","Vec3(0, 92.648, 0)",-2.088387084148264
-2.402015999999998,0.0,"Vec3(10.4728, 0.380421, -5.8879)","Vec3(0, 90.989, 0)",-2.221788515380237
-2.4281070000000025,0.0,"Vec3(10.4305, 0.380421, -5.88859)","Vec3(0, 89.0567, 0)",-2.367903959764262
-2.4528540000000003,0.0,"Vec3(10.3901, 0.380421, -5.89064)","Vec3(0, 87.1034, 0)",-2.50656444464525
-2.477667000000002,0.0,"Vec3(10.3493, 0.380421, -5.89419)","Vec3(0, 85.0302, 0)",-2.64566296312326
-2.502293999999999,0.0,"Vec3(10.3085, 0.380421, -5.8993)","Vec3(0, 82.8584, 0)",-2.7837866859242437
-2.5285755000000023,0.0,"Vec3(10.2648, 0.380421, -5.90667)","Vec3(0, 80.4197, 0)",-2.9312618014532617
-2.5532534999999985,0.0,"Vec3(10.2238, 0.380421, -5.9154)","Vec3(0, 78.0084, 0)",-3.0
-2.578852499999998,0.0,"Vec3(10.1812, 0.380421, -5.92646)","Vec3(0, 75.4485, 0)",-3.0
-2.602886999999999,0.0,"Vec3(10.1413, 0.380421, -5.93862)","Vec3(0, 73.0451, 0)",-3.0
-2.6264055000000024,0.0,"Vec3(10.1024, 0.380421, -5.95223)","Vec3(0, 70.6932, 0)",-3.0
-2.6510369999999988,0.0,"Vec3(10.062, 0.380421, -5.96838)","Vec3(0, 68.2301, 0)",-3.0
-2.675183999999998,0.0,"Vec3(10.0227, 0.380421, -5.98602)","Vec3(0, 65.8154, 0)",-3.0
-2.7007274999999993,0.0,"Vec3(9.98162, 0.380421, -6.00671)","Vec3(0, 63.261, 0)",-3.0
-2.725758000000001,0.0,"Vec3(9.94193, 0.380421, -6.02893)","Vec3(0, 60.758, 0)",-3.0
-2.7529755000000016,0.0,"Vec3(9.89955, 0.380421, -6.05538)","Vec3(0, 58.0362, 0)",-3.0
-2.7765809999999984,0.0,"Vec3(9.86347, 0.380421, -6.08002)","Vec3(0, 55.6757, 0)",-3.0
-2.802635999999998,0.0,"Vec3(9.82455, 0.380421, -6.10927)","Vec3(0, 53.0702, 0)",-3.0
-2.827618499999998,0.0,"Vec3(9.78817, 0.380421, -6.13918)","Vec3(0, 50.5719, 0)",-3.0
-2.8514625000000002,0.0,"Vec3(9.75439, 0.380421, -6.16939)","Vec3(0, 48.1875, 0)",-3.0
-2.876520000000003,0.0,"Vec3(9.72001, 0.380421, -6.20297)","Vec3(0, 45.6818, 0)",-3.0
