speed,steering_angle,position,rotation,rotation_speed
-0.01647125000000027,0.0,"Vec3(-1.3, 0.380419, -0.600109)","Vec3(0, 0, 0)",0
-0.030486000000000124,0.0,"Vec3(-1.3, 0.380419, -0.600279)","Vec3(0, 0, 0)",0
-0.04568775000000025,0.0,"Vec3(-1.3, 0.380419, -0.600557)","Vec3(0, 0, 0)",0
-0.06062400000000023,0.0,"Vec3(-1.3, 0.380419, -0.600919)","Vec3(0, 0, 0)",0
-0.07564149999999992,0.0,"Vec3(-1.3, 0.380419, -0.601374)","Vec3(0, 0, 0)",0
-0.09120624999999993,0.0,"Vec3(-1.3, 0.380419, -0.601942)","Vec3(0, 0, 0)",0
-0.10611150000000014,0.0,"Vec3(-1.3, 0.380419, -0.602574)","Vec3(0, 0, 0)",0
-0.12124450000000009,0.0,"Vec3(-1.3, 0.380419, -0.603308)","Vec3(0, 0, 0)",0
-0.1365322499999999,0.0,"Vec3(-1.3, 0.380419, -0.604143)","Vec3(0, 0, 0)",0
-0.1514979999999999,0.0,"Vec3(-1.3, 0.380419, -0.60505)","Vec3(0, 0, 0)",0
-0.16652600000000017,0.0,"Vec3(-1.3, 0.380419, -0.606051)","Vec3(0, 0, 0)",0
-0.18213024999999994,0.0,"Vec3(-1.3, 0.380419, -0.607188)","Vec3(0, 0, 0)",0
-0.1988022500000003,0.0,"Vec3(-1.3, 0.380419, -0.608514)","Vec3(0, 0, 0)",0
-0.21192774999999997,0.0,"Vec3(-1.3, 0.380419, -0.609626)","Vec3(0, 0, 0)",0
-0.22709974999999993,0.0,"Vec3(-1.3, 0.380419, -0.611004)","Vec3(0, 0, 0)",0
-0.24253499999999983,0.0,"Vec3(-1.3, 0.380419, -0.612502)","Vec3(0, 0, 0)",0
-0.25759299999999985,0.0,"Vec3(-1.3, 0.380419, -0.614053)","Vec3(0, 0, 0)",0
-0.2725487500000001,0.0,"Vec3(-1.3, 0.380419, -0.615684)","Vec3(0, 0, 0)",0
-0.2878697499999999,0.0,"Vec3(-1.3, 0.380419, -0.617448)","Vec3(0, 0, 0)",0
-0.3028677499999999,0.0,"Vec3(-1.3, 0.380419, -0.619265)","Vec3(0, 0, 0)",0
-0.3180759999999999,0.0,"Vec3(-1.3, 0.380419, -0.6212)","Vec3(0, 0, 0)",0
-0.33334774999999983,0.0,"Vec3(-1.3, 0.380419, -0.623236)","Vec3(0, 0, 0)",0
-0.3483875000000003,0.0,"Vec3(-1.3, 0.380419, -0.625332)","Vec3(0, 0, 0)",0
-0.3639937500000001,0.0,"Vec3(-1.3, 0.380419, -0.627604)","Vec3(0, 0, 0)",0
-0.37892725000000016,0.0,"Vec3(-1.3, 0.380419, -0.629868)","Vec3(0, 0, 0)",0
-0.39394050000000014,0.0,"Vec3(-1.3, 0.380419, -0.632234)","Vec3(0, 0, 0)",0
-0.40924424999999987,0.0,"Vec3(-1.3, 0.380419, -0.634739)","Vec3(0, 0, 0)",0
-0.42456225000000014,0.0,"Vec3(-1.3, 0.380419, -0.63734)","Vec3(0, 0, 0)",0
-0.43933374999999997,0.0,"Vec3(-1.3, 0.380419, -0.639936)","Vec3(0, 0, 0)",0
-0.45444150000000016,0.0,"Vec3(-1.3, 0.380419, -0.642682)","Vec3(0, 0, 0)",0
-0.46959925000000013,0.0,"Vec3(-1.3, 0.380419, -0.64553)","Vec3(0, 0, 0)",0
-0.48482175000000016,0.0,"Vec3(-1.3, 0.380419, -0.648482)","Vec3(0, 0, 0)",0
-0.4998572499999998,0.0,"Vec3(-1.3, 0.380419, -0.651488)","Vec3(0, 0, 0)",0
-0.5150769999999999,0.0,"Vec3(-1.3, 0.380419, -0.654624)","Vec3(0, 0, 0)",0
-0.5303249999999998,0.0,"Vec3(-1.3, 0.380419, -0.657858)","Vec3(0, 0, 0)",0
-0.5453235000000001,0.0,"Vec3(-1.3, 0.380419, -0.66113)","Vec3(0, 0, 0)",0
-0.5606215000000003,0.0,"Vec3(-1.3, 0.380419, -0.66456)","Vec3(0, 0, 0)",0
-0.5756897500000002,0.0,"Vec3(-1.3, 0.380419, -0.66803)","Vec3(0, 0, 0)",0
